insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '정지장', '010-3268-4411', '서울시 강남구 압구정동', '920508-1711683', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '정진하', '010-1650-1545', '서울시 강남구 대치동', '961020-2921647', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '권주선', '010-8605-0747', '서울시 강남구 일원2동', '980527-1926322', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '윤학진', '010-3109-7910', '서울시 강남구 대치1동', '840918-1984483', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '최태경', '010-6985-1016', '서울시 강남구 대치1동', '901231-1378734', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '오승현', '010-7137-9591', '서울시 강남구 논현동', '851014-2161597', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '최한선', '010-2069-2185', '서울시 강남구 도곡2동', '801218-2569223', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '신기승', '010-4786-0307', '서울시 강남구 논현2동', '800230-1189139', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '전기식', '010-5571-3472', '서울시 강남구 삼성동', '790225-1714631', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '전지영', '010-6886-4163', '서울시 강남구 역삼1동', '950518-2978837', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '서진주', '010-1283-8010', '서울시 강남구 역삼2동', '800204-1221638', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '장훈영', '010-2561-8312', '서울시 강남구 대치동', '860503-2746557', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '장진규', '010-0355-6437', '서울시 강남구 논현동', '870713-2642548', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '한정채', '010-8436-9559', '서울시 강남구 자곡동', '940104-2445338', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '윤강승', '010-0411-9835', '서울시 강남구 개포4동', '910231-1788985', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '원식기', '010-5829-5791', '서울시 강남구 도곡동', '900612-1984687', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '이학현', '010-5465-3926', '서울시 강남구 일원2동', '741214-1693414', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '오기영', '010-8820-8908', '서울시 강남구 삼성동', '900707-2642515', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '서학채', '010-5182-1046', '서울시 강남구 일원1동', '960702-2547964', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '전호현', '010-9017-9086', '서울시 강남구 대치1동', '711131-2933668', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '전승현', '010-3087-4480', '서울시 강남구 대치동', '810828-1368159', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '오섭영', '010-1041-3794', '서울시 강남구 수서동', '940226-1294221', 0);
insert into tblMember(seq, name, tel, address, ssn, withdrawal) values (member_seq.nextVal, '박학시', '010-7253-6501', '서울시 강남구 대치동', '951201-1995934', 0);
